added_time,address,area,avenue,crawl_time,fang_subway_ex,floor,house_orientation,housing_units,img_url,info,location,rent,result_kanfang,title
2017.07.28,"
                                    ",89,凯欣豪园,1505316942.7275782,距离3号线中山公园站269米,中区/35层,朝东南,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170823/c234b04a-0aa2-4dd4-80d4-f946109d36ae.jpg_600x450.jpg,,长宁,14500,4,实地看房，附近有地铁，两室户，享受好房
2017.07.28,"
                                    ",134,银霄大厦,1505316942.73878,距离1号线莘庄站277米,高区/24层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170729/276e8a72-1198-47a3-bd3d-ccfee7257b31.jpg_600x450.jpg,,闵行,6500,7,银霄大厦，改善住房，高区景观房，近地铁
2017.07.28,"
                                    ",80,远虹大厦,1505316942.749164,距离4号线临平路站433米,中区/30层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170302/29574709-a514-4677-bd22-e4f52f59c61b.jpg_600x450.jpg,,虹口,6300,25,远虹大厦，链家好房，人气房源，有钥匙房源
2017.07.28,"
                                    ",66,金色黄浦,1505316942.7586439,距离9号线陆家浜路站493米,中区/26层,朝南,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170730/36bc1f2d-3cd5-42ff-b401-cbd4d25a6540.jpg_600x450.jpg,,黄浦,7500,9,金色黄浦，1室1厅1卫，好房待租，光线充足
2017.07.28,"
                                    ",27,梅园三街坊,1505316942.76805,距离4号线世纪大道站606米,低区/6层,朝南北,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160229/57b46ee4-fed1-4553-9dc9-d10d6b332e36.jpg_600x450.jpg,,浦东,4500,4,地铁沿线，温馨之家，链家房源，看房方便
2017.08.26,"
                                    ",67,开发浦东,1505316942.780088,距离9号线商城路站607米,低区/25层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170827/c2ba1666-1d6d-4238-aa70-dac590aa6d10.jpg_600x450.jpg,,浦东,8500,10,上门实拍，生活很便利，链家好房，人气房源
2017.08.26,"
                                    ",104,慧芝湖花园,1505316942.792501,距离1号线上海马戏城站729米,高区/36层,朝南,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170730/41ba8f43-2c18-47c8-8327-10681ed4312d.jpg_600x450.jpg,,闸北,11000,5,2室2厅，有钥匙房源，人气房源，链家房源
2017.07.28,"
                                    ",24,欧阳路591号,1505316942.802416,距离8号线曲阳路站425米,高区/7层,暂无数据,1室 0厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160311/9e015863-02bb-4a81-9a0c-490ec3da66c2.jpg_600x450.jpg,,虹口,3500,10,欧阳路591号，1室0厅1卫，地铁沿线，上门实勘
2017.07.28,"
                                    ",96,华升公寓,1505316942.811605,距离8号线江浦路站141米,高区/34层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170728/55201b35-609e-4ec8-b02d-e46e564d9a1a.jpg_600x450.jpg,,杨浦,7000,8,华升公寓，人气房源，近地铁，如您所见
2017.07.29,"
                                    ",37,曹家巷小区,1505316942.821631,距离3号线金沙江路站510米,高区/6层,朝南北,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160313/b285a55c-4c4c-47f1-bc50-32e094dc650c.jpg_600x450.jpg,,普陀,4200,7,曹家巷小区，人气房源，交通便利，高区景观房
2017.07.24,"
                                    ",50,中山北一路140弄,1505316942.834226,距离8号线虹口足球场站180米,低区/7层,暂无数据,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170724/3a13d49c-f115-421e-90d7-ee2e87c5d27d.jpg_600x450.jpg,,虹口,7500,6,中山北一路140弄，上下楼方便，放心好房，链家有钥匙
2017.07.24,"
                                    ",127,东淮海公寓,1505316942.946759,距离10号线豫园站235米,高区/33层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170910/b2144e86-a3f2-4cd9-9ea0-949e9f5fbea9.jpg_600x450.jpg,,黄浦,14000,7,东淮海公寓，采光棒，实地看房，真实在租
2017.08.28,"
                                    ",120,中辉新苑,1505316942.955467,距离4号线鲁班路站353米,高区/18层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170829/bffa724b-ec5c-4668-ba0d-569f4bcbdf41.jpg_600x450.jpg,,黄浦,11000,5,中辉新苑，视野开阔，有钥匙房源，人气房源
2017.07.24,"
                                    ",91,绿地新里派克公馆,1505316942.9653099,距离17号线汇金路站537米,高区/18层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20161123/c8500bdf-d76c-4b76-8991-5faf78485eb4.jpg_600x450.jpg,,青浦,3000,5,看房方便，高清大图，生活很便利，一链倾城
2017.07.24,"
                                    ",78,开开大楼,1505316942.977331,距离13号线大渡河路站263米,低区/24层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170520/61da16a4-de7b-4fd9-b75c-63e4cb840730.jpg_600x450.jpg,,普陀,6000,10,开开大楼，两室户，享受好房，看房方便
2017.07.25,"
                                    ",127,中星长岛苑,1505316942.987335,距离6号线博兴路站640米,低区/6层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20161106/ec69dea3-264d-4cd0-b4c6-46fc463dec83.jpg_600x450.jpg,,浦东,7800,5,一链倾城，改善住房，上下楼方便，有钥匙
